strategy,silver_size,sample_seed,train_seed,use_class_weights,predictions_file,n_samples,macro_f1,cohen_kappa,accuracy,agree_f1,disagree_f1,question_f1,statement_f1
B,500,42,42,True,silver_500_sample42_train42_weights1_predictions.csv,296,0.3514995974235105,0.15104108466495325,0.4797297297297297,0.0,0.625,0.5217391304347826,0.25925925925925924
B,500,42,123,True,silver_500_sample42_train123_weights1_predictions.csv,296,0.5439778003289761,0.39042472569112663,0.5777027027027027,0.48598130841121495,0.6642335766423357,0.7238095238095238,0.3018867924528302
B,500,42,2026,True,silver_500_sample42_train2026_weights1_predictions.csv,296,0.3918887147335423,0.20118200458328317,0.3952702702702703,0.11363636363636363,0.38181818181818183,0.7272727272727273,0.3448275862068966
B,500,123,42,True,silver_500_sample123_train42_weights1_predictions.csv,296,0.30432469862881384,0.16553607611664167,0.35135135135135137,0.05970149253731343,0.41545893719806765,0.41509433962264153,0.3270440251572327
B,500,123,123,True,silver_500_sample123_train123_weights1_predictions.csv,296,0.47435414719947233,0.313409284564648,0.5033783783783784,0.47619047619047616,0.5666666666666667,0.6371681415929203,0.21739130434782608
B,500,123,2026,True,silver_500_sample123_train2026_weights1_predictions.csv,296,0.4275619303255783,0.25552111899005303,0.47635135135135137,0.17142857142857143,0.5608856088560885,0.616822429906542,0.3611111111111111
B,1000,42,42,True,silver_1000_sample42_train42_weights1_predictions.csv,296,0.5691038961038961,0.40445508982035927,0.5743243243243243,0.5606060606060606,0.592,0.780952380952381,0.34285714285714286
B,1000,42,123,True,silver_1000_sample42_train123_weights1_predictions.csv,296,0.6005101275670406,0.4474816502151354,0.6013513513513513,0.6212121212121212,0.6065573770491803,0.7924528301886793,0.38181818181818183
B,1000,42,2026,True,silver_1000_sample42_train2026_weights1_predictions.csv,296,0.5533072155821159,0.3858431090894582,0.5608108108108109,0.576,0.5816733067729084,0.7777777777777778,0.2777777777777778
B,1000,123,42,True,silver_1000_sample123_train42_weights1_predictions.csv,296,0.577181619317501,0.40595282203285166,0.5608108108108109,0.5692307692307692,0.5701754385964912,0.7608695652173914,0.4084507042253521
B,1000,123,123,True,silver_1000_sample123_train123_weights1_predictions.csv,296,0.6047910173419644,0.43833017077798864,0.5945945945945946,0.6356589147286822,0.5901639344262295,0.7835051546391752,0.4098360655737705
B,1000,123,2026,True,silver_1000_sample123_train2026_weights1_predictions.csv,296,0.5691802914025136,0.3719252471590462,0.543918918918919,0.5585585585585585,0.5349794238683128,0.7777777777777778,0.40540540540540543
B,1500,42,42,True,silver_1500_sample42_train42_weights1_predictions.csv,296,0.6060081123196339,0.4461587251248712,0.6013513513513513,0.6511627906976745,0.5934959349593496,0.8076923076923077,0.37168141592920356
B,1500,42,123,True,silver_1500_sample42_train123_weights1_predictions.csv,296,0.6066971601491673,0.4408533875166677,0.597972972972973,0.628099173553719,0.5967741935483871,0.7920792079207921,0.4098360655737705
B,1500,42,2026,True,silver_1500_sample42_train2026_weights1_predictions.csv,296,0.5754479449266445,0.4154585674264807,0.5641891891891891,0.676923076923077,0.5291479820627802,0.7207207207207207,0.375
B,1500,123,42,True,silver_1500_sample123_train42_weights1_predictions.csv,296,0.5874350397452462,0.42820909828209097,0.5574324324324325,0.6771653543307087,0.45454545454545453,0.7777777777777778,0.44025157232704404
B,1500,123,123,True,silver_1500_sample123_train123_weights1_predictions.csv,296,0.6325464450822077,0.49351009711731153,0.625,0.6906474820143885,0.5929203539823009,0.7889908256880734,0.4576271186440678
B,1500,123,2026,True,silver_1500_sample123_train2026_weights1_predictions.csv,296,0.6482461974521632,0.5038536249138418,0.6385135135135135,0.7096774193548387,0.6276150627615062,0.8076923076923077,0.448
B,2000,42,42,True,silver_2000_sample42_train42_weights1_predictions.csv,296,0.5936091170611295,0.42052591188861566,0.5777027027027027,0.6324786324786325,0.5666666666666667,0.7843137254901961,0.39097744360902253
B,2000,42,123,True,silver_2000_sample42_train123_weights1_predictions.csv,296,0.60503256095378,0.4540111298693178,0.6013513513513513,0.6716417910447762,0.5847457627118644,0.7777777777777778,0.38596491228070173
B,2000,42,2026,True,silver_2000_sample42_train2026_weights1_predictions.csv,296,0.6008271221487794,0.43578856018224366,0.5844594594594594,0.6440677966101694,0.5665236051502146,0.780952380952381,0.4117647058823529
B,2000,123,42,True,silver_2000_sample123_train42_weights1_predictions.csv,296,0.6415685803388166,0.4966608953747218,0.6283783783783784,0.6717557251908397,0.6200873362445415,0.8316831683168316,0.44274809160305345
B,2000,123,123,True,silver_2000_sample123_train123_weights1_predictions.csv,296,0.6262792034997751,0.47530673900980336,0.6114864864864865,0.6818181818181818,0.5814977973568282,0.8076923076923077,0.43410852713178294
B,2000,123,2026,True,silver_2000_sample123_train2026_weights1_predictions.csv,296,0.6248083551835805,0.48498373553218854,0.6114864864864865,0.6808510638297872,0.5821596244131455,0.7884615384615384,0.44776119402985076
B,2500,42,42,False,silver_2500_sample42_train42_weights0_predictions.csv,296,0.5951491291054327,0.418284376969006,0.5574324324324325,0.6440677966101694,0.4928909952606635,0.8125,0.4311377245508982
B,2500,42,123,False,silver_2500_sample42_train123_weights0_predictions.csv,296,0.5863011856036586,0.4069644005203116,0.5472972972972973,0.6666666666666666,0.4688995215311005,0.8,0.40963855421686746
B,2500,42,2026,False,silver_2500_sample42_train2026_weights0_predictions.csv,296,0.5890901819862682,0.4293632146514851,0.5675675675675675,0.6774193548387096,0.5164319248826291,0.7407407407407407,0.4217687074829932
B,2500,123,42,False,silver_2500_sample123_train42_weights0_predictions.csv,296,0.6224903130330074,0.4647215257199301,0.597972972972973,0.6875,0.5688073394495413,0.8041237113402062,0.42953020134228187
B,2500,123,123,False,silver_2500_sample123_train123_weights0_predictions.csv,296,0.625000535029448,0.4700330774132856,0.6013513513513513,0.703125,0.5714285714285714,0.7959183673469388,0.42953020134228187
B,2500,123,2026,False,silver_2500_sample123_train2026_weights0_predictions.csv,296,0.6497796106437456,0.5038368677626217,0.6317567567567568,0.734375,0.6106194690265486,0.8080808080808081,0.4460431654676259
B,2500,42,42,True,silver_2500_sample42_train42_weights1_predictions.csv,296,0.5967026906404667,0.44483920647748587,0.5844594594594594,0.6715328467153284,0.5570776255707762,0.7735849056603774,0.38461538461538464
B,2500,42,123,True,silver_2500_sample42_train123_weights1_predictions.csv,296,0.6204722282610835,0.47870564633455337,0.6114864864864865,0.7007299270072993,0.5765765765765766,0.7818181818181819,0.42276422764227645
B,2500,42,2026,True,silver_2500_sample42_train2026_weights1_predictions.csv,296,0.5890625116779815,0.41819075259900806,0.5675675675675675,0.6829268292682927,0.5398230088495575,0.7647058823529411,0.36879432624113473
B,2500,123,42,True,silver_2500_sample123_train42_weights1_predictions.csv,296,0.6373428953884833,0.48919122971911067,0.6216216216216216,0.676923076923077,0.6079295154185022,0.8316831683168316,0.43283582089552236
B,2500,123,123,True,silver_2500_sample123_train123_weights1_predictions.csv,296,0.6008198540532017,0.44745947914769624,0.5844594594594594,0.6764705882352942,0.5462962962962963,0.7924528301886793,0.3880597014925373
B,2500,123,2026,True,silver_2500_sample123_train2026_weights1_predictions.csv,296,0.6628570008449725,0.5281172829858398,0.6554054054054054,0.7272727272727273,0.652542372881356,0.82,0.45161290322580644
B,5000,42,42,True,silver_5000_sample42_train42_weights1_predictions.csv,296,0.6093790132370842,0.4571011921764361,0.5878378378378378,0.7313432835820896,0.5142857142857142,0.7663551401869159,0.425531914893617
B,5000,42,123,True,silver_5000_sample42_train123_weights1_predictions.csv,296,0.5955149966332254,0.4369310204266498,0.5743243243243243,0.6917293233082706,0.5070422535211268,0.7547169811320755,0.42857142857142855
B,5000,42,2026,True,silver_5000_sample42_train2026_weights1_predictions.csv,296,0.5968187245537112,0.43449902237346827,0.5675675675675675,0.71875,0.4854368932038835,0.7572815533980582,0.4258064516129032
B,5000,123,42,True,silver_5000_sample123_train42_weights1_predictions.csv,296,0.5908602733183017,0.4378560877822325,0.5743243243243243,0.6573426573426573,0.5333333333333333,0.7524752475247525,0.42028985507246375
B,5000,123,123,True,silver_5000_sample123_train123_weights1_predictions.csv,296,0.6473132953434719,0.5118598091950126,0.6385135135135135,0.7445255474452555,0.6194690265486725,0.7843137254901961,0.4409448818897638
B,5000,123,2026,True,silver_5000_sample123_train2026_weights1_predictions.csv,296,0.5939548359561111,0.4339150993118195,0.5709459459459459,0.6567164179104478,0.5118483412322274,0.7766990291262136,0.4305555555555556
B,8000,42,42,True,silver_8000_sample42_train42_weights1_predictions.csv,296,0.6023280394531209,0.44112138239381304,0.5777027027027027,0.6976744186046512,0.514018691588785,0.780952380952381,0.4166666666666667
B,8000,42,123,True,silver_8000_sample42_train123_weights1_predictions.csv,296,0.5967218036903592,0.42842487968983367,0.5675675675675675,0.7131782945736435,0.5070422535211268,0.78,0.38666666666666666
B,8000,42,2026,True,silver_8000_sample42_train2026_weights1_predictions.csv,296,0.5906154777519927,0.4312440419447092,0.5641891891891891,0.6818181818181818,0.4803921568627451,0.7735849056603774,0.4266666666666667
B,8000,123,42,True,silver_8000_sample123_train42_weights1_predictions.csv,296,0.5873824627634184,0.4180366298150361,0.5608108108108109,0.6466165413533834,0.4953271028037383,0.78,0.42758620689655175
B,8000,123,123,True,silver_8000_sample123_train123_weights1_predictions.csv,296,0.5991892762320126,0.4466038447041085,0.581081081081081,0.6906474820143885,0.5213270142180095,0.75,0.43478260869565216
B,8000,123,2026,True,silver_8000_sample123_train2026_weights1_predictions.csv,296,0.5683186281423748,0.39380268312952627,0.5337837837837838,0.6829268292682927,0.4433497536945813,0.7619047619047619,0.38509316770186336
B,10000,42,42,True,silver_10000_sample42_train42_weights1_predictions.csv,296,0.5793964489616663,0.4119000313709087,0.5506756756756757,0.6666666666666666,0.47342995169082125,0.7619047619047619,0.4155844155844156
B,10000,42,123,True,silver_10000_sample42_train123_weights1_predictions.csv,296,0.5765648164620767,0.4128219770971717,0.5540540540540541,0.6363636363636364,0.49523809523809526,0.75,0.4246575342465753
B,10000,42,2026,True,silver_10000_sample42_train2026_weights1_predictions.csv,296,0.5851173136630065,0.42069049876150566,0.5675675675675675,0.6511627906976745,0.5315315315315315,0.7070707070707071,0.4507042253521127
