fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.13993316624895571,0.009900990099009799,2,"question,statement",True
1,123,0.24537037037037038,0.09299129638112702,2,"agree,question",True
1,2026,0.1590909090909091,-0.022908897176345144,2,"question,statement",True
2,42,0.08904109589041095,0.0,1,"disagree,question,statement",True
2,123,0.1882716049382716,0.015904572564612307,2,"agree,question",True
2,2026,0.2591093117408907,0.0817790530846485,2,"agree,statement",True
3,42,0.16756756756756758,0.0638930163447251,2,"question,statement",True
3,123,0.20824524312896409,0.03124999999999989,3,agree,True
3,2026,0.23928571428571427,0.0892857142857143,2,"agree,statement",True
4,42,0.275062656641604,0.10823170731707321,3,statement,True
4,123,0.15517241379310345,-0.04210526315789487,2,"agree,question",True
4,2026,0.34063983488132094,0.15254237288135586,3,statement,True
5,42,0.17939814814814814,-0.0015898251192367763,2,"question,statement",True
5,123,0.27976190476190477,0.1428571428571428,2,"agree,question",True
5,2026,0.16292134831460675,0.0,1,"agree,question,statement",True
