fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.4393700327255727,0.31443080829454084,4,,False
1,123,0.346078431372549,0.17516629711751663,4,,False
1,2026,0.25716189207195206,0.06796116504854377,2,"agree,statement",True
2,42,0.37622562296858075,0.2080109239872554,4,,False
2,123,0.24796747967479676,0.06579608237066792,4,,False
2,2026,0.3205128205128205,0.14503816793893132,2,"agree,statement",True
3,42,0.31231962481962483,0.15887850467289732,3,statement,True
3,123,0.30344585091420534,0.15369649805447472,3,statement,True
3,2026,0.2959839357429719,0.12121212121212122,2,"agree,statement",True
4,42,0.32380952380952377,0.18181818181818188,4,,False
4,123,0.4354166666666667,0.26136363636363646,3,statement,True
4,2026,0.40481941568898094,0.1833030852994556,4,,False
5,42,0.23843700159489634,0.06813627254509014,3,question,True
5,123,0.4164443664443664,0.1807909604519774,4,,False
5,2026,0.29558823529411765,0.1322314049586777,3,statement,True
