fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.47628205128205126,0.2963252541047694,4,,False
1,123,0.47547619047619044,0.24906132665832292,4,,False
1,2026,0.40719065656565656,0.23670007710100238,4,,False
2,42,0.37316176470588236,0.17662682602921642,4,,False
2,123,0.3274447174447175,0.11627906976744184,4,,False
2,2026,0.4487920168067227,0.29950606196677143,4,,False
3,42,0.3688815789473684,0.17769376181474483,4,,False
3,123,0.452991452991453,0.2749244712990938,4,,False
3,2026,0.48202473396606266,0.2602040816326531,4,,False
4,42,0.29287999712395746,0.04841402337228706,4,,False
4,123,0.42823450134770885,0.23809523809523814,4,,False
4,2026,0.41943011545074915,0.25619834710743794,4,,False
5,42,0.3030709375236081,0.08006814310051102,4,,False
5,123,0.5333063994828701,0.3561208267090621,4,,False
5,2026,0.4951316443119722,0.3204697986577182,4,,False
