fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.20584689572031345,0.025590551181102206,3,question,True
1,123,0.20584689572031345,0.025590551181102206,3,question,True
1,2026,0.20584689572031345,0.025590551181102206,3,question,True
2,42,0.2554802543507363,0.08490086426029497,4,,False
2,123,0.2554802543507363,0.08490086426029497,4,,False
2,2026,0.2554802543507363,0.08490086426029497,4,,False
3,42,0.20238095238095238,0.018404907975460127,4,,False
3,123,0.20238095238095238,0.018404907975460127,4,,False
3,2026,0.20238095238095238,0.018404907975460127,4,,False
4,42,0.34105256293204644,0.153225806451613,4,,False
4,123,0.34105256293204644,0.153225806451613,4,,False
4,2026,0.34105256293204644,0.153225806451613,4,,False
5,42,0.21626984126984128,0.04123711340206171,2,"question,statement",True
5,123,0.21626984126984128,0.04123711340206171,2,"question,statement",True
5,2026,0.21626984126984128,0.04123711340206171,2,"question,statement",True
