run_dir,warmup_steps,epochs,use_class_weights,macro_f1_mean,macro_f1_std,cohen_kappa_mean,cohen_kappa_std,oof_class_collapse_seeds,model_type,dry_run,split_seed,outer_fold_seed,seeds,seed_runs,fold_class_collapse_runs,fold_runs,agree_f1_mean,agree_prediction_count_mean,folds_missing_agree,disagree_f1_mean,disagree_prediction_count_mean,folds_missing_disagree,question_f1_mean,question_prediction_count_mean,folds_missing_question,statement_f1_mean,statement_prediction_count_mean,folds_missing_statement
roberta_weights_warmup20_epochs8,20,8,True,0.5308797351395804,0.0038473380251304,0.3482661723547911,0.0080987974179439,0,roberta,False,42,42,"42,123,2026",3,0,15,0.4375053966011225,63.66666666666666,0,0.6234335193321106,140.33333333333334,0,0.7300423767544345,51.0,0,0.3325376478706539,45.0,0
roberta_weights_warmup10_epochs10,10,10,True,0.5230718922681099,0.0406438897463549,0.3332137769415472,0.0634181683548725,0,roberta,False,42,42,"42,123,2026",3,0,15,0.4374278355093703,69.33333333333333,0,0.5966907190104968,130.0,0,0.7002216616983872,51.0,0,0.3579473528541851,49.66666666666666,0
roberta_weights_warmup30_epochs10,30,10,True,0.5189022011166603,0.0493858183552047,0.3363096838107659,0.0709905681786159,0,roberta,False,42,42,"42,123,2026",3,0,15,0.4464247245007871,76.0,0,0.6076141963451479,131.33333333333334,0,0.7032765737874097,53.66666666666666,0,0.3182933098332965,39.0,0
roberta_weights_warmup20_epochs10,20,10,True,0.5166193221427182,0.0515638483837859,0.332012545760002,0.0699540875191735,0,roberta,False,42,42,"42,123,2026",3,0,15,0.3918718359710051,61.333333333333336,0,0.6299793624634389,150.33333333333334,0,0.7206298249636932,51.0,0,0.3239962651727358,37.333333333333336,0
roberta_weights_warmup30_epochs8,30,8,True,0.5072334260820269,0.0314278886673423,0.3180685038399073,0.0413752687892015,0,roberta,False,42,42,"42,123,2026",3,0,15,0.4157829274679235,62.333333333333336,0,0.5829598243391346,126.0,0,0.6795976407626894,56.0,0,0.3505933117583603,55.66666666666666,0
roberta_weights_warmup10_epochs8,10,8,True,0.4903626834188651,0.0602049515069999,0.2903720232369632,0.0837871063223724,0,roberta,False,42,42,"42,123,2026",3,0,15,0.3612635300989528,66.66666666666667,0,0.5824536917377445,132.33333333333334,0,0.6903212311370087,52.333333333333336,0,0.3274122807017544,48.66666666666666,0
roberta_weights_warmup30_epochs6,30,6,True,0.4371001296282736,0.0292183590106715,0.2463687397706504,0.0400357177853728,0,roberta,False,42,42,"42,123,2026",3,0,15,0.3282623609091463,64.0,0,0.5733528844591395,141.66666666666666,0,0.6048338514181065,66.0,0,0.2419514217267026,28.33333333333333,0
roberta_weights_warmup20_epochs6,20,6,True,0.4277779795908589,0.0511363862381659,0.2261002638472443,0.0612878208629767,0,roberta,False,42,42,"42,123,2026",3,0,15,0.3076862847671873,61.66666666666666,0,0.5741827438694874,147.66666666666666,0,0.5882616487455197,57.0,0,0.240981240981241,33.666666666666664,0
roberta_weights_warmup10_epochs6,10,6,True,0.421586104256155,0.0586691825629005,0.2213746231028859,0.0552838016635145,0,roberta,False,42,42,"42,123,2026",3,2,15,0.2639122038993669,62.333333333333336,0,0.5775972248909697,151.0,0,0.6294553857579067,59.66666666666666,0,0.2153796024763766,27.0,2
roberta_no_weights_warmup20_epochs8,20,8,False,0.3498916201359086,0.0228741113036233,0.1633995018004604,0.0300705902019651,0,roberta,False,42,42,"42,123,2026",3,8,15,0.202684384367184,32.333333333333336,3,0.6498858583600368,232.66666666666663,0,0.5107839121304037,29.666666666666668,1,0.0362123256860099,5.333333333333333,7
