fold,train_seed,use_class_weights,train_rows,validation_rows,eval_rows,train_fit_macro_f1,train_fit_cohen_kappa,eval_macro_f1,eval_cohen_kappa,gap,low_train_fit_count,train_fit_eval_correlation
1,42,True,204.0,36.0,60.0,0.6234841798684965,0.4977313495832014,0.3166666666666666,0.1413703382480486,0.3068175132018298,,
1,123,True,204.0,36.0,60.0,0.3084619093539055,0.1773844390678721,0.2337662337662337,0.0857142857142857,0.0746956755876717,,
1,2026,True,204.0,36.0,60.0,0.3590203106332138,0.2308892355694227,0.223293172690763,0.0303030303030302,0.1357271379424507,,
2,42,True,204.0,36.0,60.0,0.2109280303030303,0.0377358490566037,0.1629213483146067,0.0,0.0480066819884235,,
2,123,True,204.0,36.0,60.0,0.2630899858486639,0.0861538461538461,0.1629213483146067,0.0,0.1001686375340571,,
2,2026,True,204.0,36.0,60.0,0.2926136363636363,0.2081218274111673,0.2354497354497354,0.0703851261620187,0.0571639009139009,,
3,42,True,204.0,36.0,60.0,0.6307433297097051,0.5048361590232062,0.4248794683577293,0.220103986135182,0.2058638613519758,,
3,123,True,204.0,36.0,60.0,0.3054876143887962,0.1288321495999279,0.2063740856844305,0.0210526315789473,0.0991135287043656,,
3,2026,True,204.0,36.0,60.0,0.260505698005698,0.1370747183021552,0.2571428571428571,0.1428571428571428,0.0033628408628408,,
4,42,True,204.0,36.0,60.0,0.2181986163670766,0.0400800934423493,0.227485380116959,0.1341653666146646,-0.0092867637498824,,
4,123,True,204.0,36.0,60.0,0.2618243243243243,0.0872483221476511,0.2147727272727272,0.0425531914893617,0.047051597051597,,
4,2026,True,204.0,36.0,60.0,0.3307742528290937,0.2043336944745396,0.2267521759047183,0.0701468189233278,0.1040220769243754,,
5,42,True,204.0,36.0,60.0,0.4248366013071895,0.314875491480996,0.2252747252747252,0.0077821011673151,0.1995618760324642,,
5,123,True,204.0,36.0,60.0,0.1633663366336633,0.0,0.1629213483146067,0.0,0.0004449883190566,,
5,2026,True,204.0,36.0,60.0,0.2427161836687126,0.1037165082108902,0.2979020979020979,0.2307692307692307,-0.0551859142333852,,
AGGREGATE,n=15,,,,,0.326403400640347,,0.23856822474489756,,0.08783517589544944,11,0.777
