fold,train_seed,use_class_weights,warmup_steps,epochs,train_rows,validation_rows,eval_rows,train_fit_macro_f1,train_fit_cohen_kappa,eval_macro_f1,eval_cohen_kappa,gap,low_train_fit_count,train_fit_eval_correlation
1,42,True,20.0,8.0,204.0,36.0,60.0,0.943669571935585,0.9133972476739661,0.6321851388109321,0.4786729857819906,0.3114844331246529,,
1,123,True,20.0,8.0,204.0,36.0,60.0,0.9293239107383844,0.8927332001261963,0.5747180451127819,0.3914807302231237,0.3546058656256025,,
1,2026,True,20.0,8.0,204.0,36.0,60.0,0.8754210775219179,0.8076748489821572,0.5852591036414566,0.41520467836257313,0.2901619738804613,,
2,42,True,20.0,8.0,204.0,36.0,60.0,0.9119944420455929,0.8725707940033315,0.3939984522645813,0.18627842042281606,0.5179959897810116,,
2,123,True,20.0,8.0,204.0,36.0,60.0,0.9397850790513834,0.9010943343953456,0.4918657607538577,0.3176074136478516,0.44791931829752574,,
2,2026,True,20.0,8.0,204.0,36.0,60.0,0.8444017529383383,0.7631055076310551,0.6206896551724138,0.4619883040935673,0.2237120977659245,,
3,42,True,20.0,8.0,204.0,36.0,60.0,0.8845775161975025,0.8454545454545455,0.5804597701149425,0.4049586776859504,0.3041177460825599,,
3,123,True,20.0,8.0,204.0,36.0,60.0,0.8715544601250421,0.8294492632458982,0.4685241596638655,0.22145328719723179,0.4030303004611766,,
3,2026,True,20.0,8.0,204.0,36.0,60.0,0.912995387877015,0.8735101619014812,0.5527044639947866,0.36548223350253806,0.3602909238822284,,
4,42,True,20.0,8.0,204.0,36.0,60.0,0.9347253221974224,0.9001189060642093,0.5604804494897374,0.3739967897271268,0.37424487270768503,,
4,123,True,20.0,8.0,204.0,36.0,60.0,0.8357566152365379,0.7634540617966032,0.512345966054406,0.31610942249240115,0.3234106491821319,,
4,2026,True,20.0,8.0,204.0,36.0,60.0,0.8930878670184421,0.8377200567218899,0.4503205128205128,0.24646781789638939,0.44276735419792934,,
5,42,True,20.0,8.0,204.0,36.0,60.0,0.9008116883116882,0.8604937427340491,0.4550391129338497,0.2880523731587562,0.44577257537783854,,
5,123,True,20.0,8.0,204.0,36.0,60.0,0.9648600560696327,0.9496757823512828,0.5816111133448594,0.48275862068965514,0.3832489427247733,,
5,2026,True,20.0,8.0,204.0,36.0,60.0,0.8910577274388015,0.8452893929470164,0.5668607254814151,0.4184168012924071,0.32419700195738643,,
AGGREGATE,n=15,,,,,,,0.902268164980219,,0.5351374953102933,,0.36713066966992586,0,0.084
